iter	Logloss
263	0.1265596781
264	0.1263748872
265	0.1261414963
266	0.1258079374
267	0.1254069607
268	0.1248577961
269	0.1245905771
270	0.123996556
271	0.123656205
272	0.1232499163
273	0.1230286825
274	0.1225431917
275	0.1220753825
276	0.1215869157
277	0.1213077615
278	0.1209049321
279	0.1206522989
280	0.1203344168
281	0.1199105607
282	0.1195905193
283	0.1193703102
284	0.11890107
285	0.1186767431
286	0.1183908191
287	0.1180924495
288	0.1178277832
289	0.1175291263
290	0.1172722411
291	0.1168242351
292	0.1163404015
293	0.11604359
294	0.1158732693
295	0.1154064257
296	0.1150869329
297	0.114833822
298	0.1146243087
299	0.1143589259
300	0.1141440529
301	0.1138932952
302	0.1135857047
303	0.1133424494
304	0.1130422422
305	0.1128643286
306	0.1125108371
307	0.1123362882
308	0.1120080517
309	0.1116426699
310	0.1112831923
311	0.1110116369
312	0.1107803598
313	0.110321622
314	0.1098026136
315	0.1094389222
316	0.1092388381
317	0.1090848499
318	0.1089261115
319	0.1087260775
320	0.1083385786
321	0.1080440187
322	0.1077465949
323	0.1074350928
324	0.1071636793
325	0.106992304
326	0.1067215033
327	0.1062323279
328	0.105938947
329	0.1057243837
330	0.1055488408
331	0.1053076696
332	0.1050815834
333	0.1046777307
334	0.1044319756
335	0.1041450968
336	0.1038839202
337	0.1036712775
338	0.1033541681
339	0.1030583016
340	0.1029367098
341	0.1027283313
342	0.1024481265
343	0.1021658984
344	0.102078328
345	0.1018384022
346	0.1016854043
347	0.1014854148
348	0.1012037057
349	0.1009560256
350	0.1006237169
351	0.1003489452
352	0.1002348131
353	0.1000149108
354	0.09971279114
355	0.09951276353
356	0.09914387999
357	0.09880956479
358	0.09850058418
359	0.09820057271
360	0.09810393397
361	0.09794326532
362	0.09772190213
363	0.09736749616
364	0.09700785732
365	0.09666314036
366	0.09616081743
367	0.09584804357
368	0.09566756928
369	0.09540456074
370	0.09521190208
371	0.09489268161
372	0.09458062868
373	0.09445623042
374	0.09422922915
375	0.09406677878
376	0.09391446814
377	0.0935991214
378	0.09344229315
379	0.09325102609
380	0.09300790185
381	0.09275775526
382	0.09243365834
383	0.09220740822
384	0.09195198727
385	0.09178230875
386	0.09164157215
387	0.09146535876
388	0.09136358125
389	0.09117018203
390	0.09097674677
391	0.09091190651
392	0.09066935413
393	0.09042270169
394	0.09018524998
395	0.09000441546
396	0.08981451949
397	0.0896315638
398	0.08934418128
399	0.08915835603
400	0.08891538027
401	0.08859491322
402	0.08834196215
403	0.0881528628
404	0.08796880686
405	0.0878256356
406	0.08766651825
407	0.08747671094
408	0.08739213523
409	0.08725932587
410	0.08688932118
411	0.08683090684
412	0.08662906184
413	0.0864558328
414	0.08610052301
415	0.08589073044
416	0.08584189248
417	0.08555506508
418	0.08533716153
419	0.08517887549
420	0.08498229629
421	0.08468087449
422	0.08444836682
423	0.08427963294
424	0.0840236036
425	0.08391206853
426	0.08382535617
427	0.08363241425
428	0.08353032292
429	0.08328904204
430	0.08309121984
431	0.08276812975
432	0.08259919292
433	0.08244932671
434	0.08228958495
435	0.08206858316
436	0.08185898375
437	0.08161140269
438	0.081555409
439	0.08134282083
440	0.08105248208
441	0.08088957105
442	0.08052268797
443	0.08041805197
444	0.08022356573
445	0.08001776402
446	0.07980406162
447	0.07968076395
448	0.0795024107
449	0.0794327236
450	0.0792934417
451	0.07909250129
452	0.07895406177
453	0.07878840492
454	0.07863248656
455	0.07840287975
456	0.07833331423
457	0.07821292567
458	0.07814602357
459	0.077795594
460	0.07757277951
461	0.07732141263
462	0.07713033448
463	0.07699502225
464	0.07683206946
465	0.07670732978
466	0.07663623629
467	0.07659419765
468	0.07651440258
469	0.07629872
470	0.07602803476
471	0.07584745145
472	0.07574499875
473	0.07557740622
474	0.07547532852
475	0.07525661947
476	0.07519352574
477	0.07500133846
478	0.07486312606
479	0.07475261416
480	0.07463404854
481	0.07450895227
482	0.07420999212
483	0.0741311525
484	0.07405133029
485	0.07392672561
486	0.07380249789
487	0.07359066353
488	0.07334615621
489	0.07319767016
490	0.07300801121
491	0.07286569947
492	0.07266408711
493	0.0724170579
494	0.07225834991
495	0.07205291035
496	0.07184543901
497	0.07167771578
498	0.07150434841
499	0.07140897131
