Feature,SHAP Importance
X27,1.5722790222960936
X24,0.7207727587353139
X21,0.6230617058819301
X46,0.4584809330025085
X6,0.4288346408030065
X34,0.3934680571308363
X31,0.3486411365030098
X5,0.27526333904611777
X37,0.26822500388630094
X58,0.255941525553243
X59,0.25319728552523824
X29,0.24267519305940424
X38,0.22737945930185052
X47,0.19580992754258544
X64,0.19070709868181737
X42,0.14277293193997354
X26,0.1350419315401509
X61,0.12544737695780075
X45,0.10321924053093226
X35,0.10258770658074112
X41,0.09406404351585305
X1,0.0882230919661482
X15,0.08218687865079732
X25,0.0809390618925561
X40,0.08045883927275922
X52,0.07588710676808114
X48,0.07098844187533435
X16,0.06991151952535046
X66,0.06450810259667669
X4,0.061903118846125475
X17,0.05508532627990054
X12,0.053678166516110515
X2,0.04833509478977488
X22,0.041175082376517395
X36,0.03293850856100562
X18,0.030716966843644035
